Country,Method,Energy.type,Last.stage,Ledger.side,Flow.aggregation.point,Flow,Product,Unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
World,PCM,E,Final,Supply,Total primary energy supply,Resources [of Natural gas],Natural gas [from Resources],ktoe,10706.602032,11469.1381148645,11788.1209152785,11859.0668066742,7044.5378484292,7030.38336215761,7973.17495591192,8921.60452707502,9130.00512251658,9041.40811575658,8658.20267075626,9327.75960321257,9836.9701904617,10811.7759000263,9335.89471648956,9319.40842384313,9487.09594777798,9864.71585795607,11019.2748458474,18033.2324316627,17086.0736515671,15701.2886099543,22974.3444189384,21213.7047347678,3827.08647281401,8112.4619955228,7924.37109830174,1056.46997307425,498.502119614392
World,PCM,E,Final,Supply,Energy industry own use,Coal mines,Natural gas [from Resources],ktoe,-5822.419032,-6065.82309714567,-6144.68088045601,-6060.35091022233,-7044.5378484292,-7030.38336215761,-7973.17495591192,-8921.60452707502,-9130.00512251658,-8681.5226493049,-8658.20267075626,-9327.75960321257,-9836.9701904617,-10811.7759000263,-9335.89471648956,-9319.40842384313,-9487.09594777798,-9864.71585795607,-10615.7621649178,-823.385654174532,0,0,0,0,0,0,0,0,0
World,PCM,E,Final,Supply,Energy industry own use,Oil and gas extraction,Natural gas [from Resources],ktoe,0,0,0,0,0,0,0,0,0,-359.885466451678,0,0,0,0,0,0,0,0,-403.512680929573,-1414.83376515964,-1135.7152229754,-2702.92500643586,-7963.97183438701,-8359.98169603682,0,-2784.04699646376,-2761.13272459405,0,0
World,PCM,E,Final,Supply,Energy industry own use,Oil refineries,Natural gas [from Resources],ktoe,-4884.18299999999,-5403.3150177188,-5643.4400348225,-5798.71589645189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15795.0130123285,-15950.3584285917,-12998.3636035184,-15010.3725845514,-12853.723038731,-3827.08647281401,-5328.41499905904,-5163.23837370769,-1056.46997307425,-498.502119614392
World,PCM,E,Final,Supply,Energy industry own use,Oil and gas extraction,Natural gas,ktoe,8214.68773,9660.5148357467,11079.9845989394,12321.8569666406,362.726881807813,15491.3807424066,17270.1297318203,19008.5460090125,21147.3027590799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,PCM,E,Final,Supply,Energy industry own use,Oil refineries,Natural gas,ktoe,0,0,0,0,9604.08724988973,1170.97717251236,1296.02210467064,1802.22720192495,1758.79714282825,12297.8121414652,13978.1070936404,15009.1493472935,16169.3585332386,18456.6142181741,20609.4113370558,21723.6694687795,22337.4865712211,23332.0982710577,23992.7334601939,0,0,0,0,0,0,0,0,0,0
World,PCM,E,Final,Comsumption,Other,Residential,Natural gas,ktoe,8214.68773,9660.5148357467,11079.9845989394,12321.8569666406,9966.81413169754,16662.357914919,18566.1518364909,20810.7732109374,22906.0999019081,12297.8121414652,13978.1070936404,15009.1493472935,16169.3585332386,18456.6142181741,20609.4113370558,21723.6694687795,22337.4865712211,23332.0982710577,23992.7334601939,0,0,0,0,0,0,0,0,0,0
